LastPurchaseDate,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
2011-01-06 12:37:00,2,401.9,337,1,2,2,122,Regular,1
2011-11-24 12:30:00,6,2780.66,15,4,4,5,445,Loyal Customers,0
2011-09-21 09:33:00,1,549.84,79,2,1,3,213,At Risk,0
2011-11-18 12:07:00,1,439.66,21,4,1,2,412,At Risk,0
2011-09-28 15:41:00,4,1582.6000000000001,71,3,4,4,344,Loyal Customers,0
2011-10-07 08:08:00,2,1272.48,63,3,2,4,324,At Risk,0
2011-11-20 15:21:00,12,3018.63,18,4,5,5,455,Loyal Customers,0
2011-11-04 09:52:00,2,2409.9,35,3,2,5,325,At Risk,0
2011-10-25 10:27:00,1,1635.6599999999999,45,3,1,4,314,At Risk,0
2011-08-12 13:15:00,4,1108.65,118,2,4,4,244,Loyal Customers,0
2011-02-09 13:50:00,1,84.3,302,1,1,1,111,Regular,1
2011-01-20 13:49:00,1,225.6,322,1,1,1,111,Regular,1
2011-10-21 10:51:00,1,427.7,49,3,1,2,312,At Risk,0
2011-07-14 08:52:00,1,1710.39,148,2,1,4,214,At Risk,1
2011-11-17 19:22:00,2,3415.3,21,4,2,5,425,At Risk,0
2011-10-21 10:11:00,5,1708.1200000000001,49,3,4,4,344,Loyal Customers,0
2011-11-07 12:27:00,5,2888.55,32,4,4,5,445,Loyal Customers,0
2011-09-22 10:38:00,3,11072.67,78,2,3,5,235,Loyal Customers,0
2011-02-04 10:39:00,2,693.3299999999999,308,1,2,3,123,Regular,1
2011-09-26 10:16:00,3,1226.88,74,2,3,4,234,Loyal Customers,0
2011-10-04 09:00:00,3,758.1,66,3,3,3,333,Loyal Customers,0
2011-05-06 14:51:00,3,562.41,216,1,3,3,133,Loyal Customers,1
2011-11-15 14:22:00,21,124914.53,23,4,5,5,455,Loyal Customers,2
2011-12-06 14:52:00,9,3649.1,2,5,5,5,555,Champions,0
2011-08-19 11:08:00,1,668.58,112,2,1,3,213,At Risk,0
2011-10-07 08:55:00,1,600.39,63,3,1,3,313,At Risk,0
2011-11-24 09:07:00,4,807.04,15,4,4,3,443,Loyal Customers,0
2011-09-05 09:48:00,3,803.5600000000001,95,2,3,3,233,Loyal Customers,0
2011-12-09 10:10:00,8,1859.31,0,5,5,4,554,Champions,0
2011-06-30 12:06:00,2,1760.96,162,2,2,4,224,At Risk,1
2011-09-22 17:31:00,1,777.2,77,2,1,3,213,At Risk,0
2011-05-29 12:26:00,1,582.73,194,1,1,3,113,Regular,1
2011-11-18 08:56:00,3,825.8,21,4,3,3,433,Loyal Customers,0
2011-11-14 08:22:00,9,7956.46,25,4,5,5,455,Loyal Customers,0
2011-11-30 17:22:00,4,3750.4,8,5,4,5,545,Champions,0
2011-10-27 15:09:00,1,256.4,42,3,1,2,312,At Risk,0
2011-11-04 11:55:00,15,6419.95,35,3,5,5,355,Loyal Customers,3
2011-10-28 11:43:00,5,5059.32,42,3,4,5,345,Loyal Customers,0
2011-12-09 10:02:00,7,13375.87,0,5,5,5,555,Champions,0
2011-09-16 12:38:00,2,806.14,84,2,2,3,223,At Risk,0
2011-09-21 09:06:00,2,7829.89,79,2,2,5,225,At Risk,0
2011-09-01 12:09:00,1,509.01,99,2,1,3,213,At Risk,0
2011-12-08 11:35:00,18,4951.41,1,5,5,5,555,Champions,3
2011-11-25 13:28:00,2,2906.85,13,4,2,5,425,At Risk,0
2010-12-08 10:45:00,1,173.55,366,1,1,1,111,Regular,1
2011-12-06 14:22:00,1,172.06,2,5,1,1,511,At Risk,0
2011-11-18 13:23:00,5,5005.46,20,4,4,5,445,Loyal Customers,0
2011-11-17 18:43:00,1,133.4,21,4,1,1,411,At Risk,0
2011-10-13 12:50:00,1,1002.3100000000001,57,3,1,4,314,At Risk,0
2011-04-10 13:25:00,1,476.49,242,1,1,2,112,Regular,1
2011-10-26 13:46:00,1,449.45,43,3,1,2,312,At Risk,0
2011-11-17 13:46:00,4,4067.29,21,4,4,5,445,Loyal Customers,0
2011-07-06 14:41:00,2,197.88,155,2,2,1,221,At Risk,1
2011-11-29 08:40:00,5,9035.52,10,5,4,5,545,Champions,0
2011-11-23 10:28:00,2,430.57,16,4,2,2,422,At Risk,0
2011-07-28 14:08:00,1,707.09,133,2,1,3,213,At Risk,0
2011-10-14 17:13:00,1,3528.34,55,3,1,5,315,At Risk,0
2011-09-27 15:31:00,6,2466.86,72,2,4,5,245,Loyal Customers,0
2011-10-26 14:41:00,3,3181.04,43,3,3,5,335,Loyal Customers,0
2011-10-04 13:13:00,7,2363.23,65,3,5,5,355,Loyal Customers,0
2011-09-29 15:25:00,2,947.4,70,3,2,4,324,At Risk,0
2011-09-06 16:57:00,2,826.88,93,2,2,3,223,At Risk,0
2011-11-21 09:11:00,2,1189.59,18,4,2,4,424,At Risk,0
2011-10-17 13:44:00,4,1344.78,52,3,4,4,344,Loyal Customers,0
2011-11-29 13:33:00,8,1212.05,9,5,5,4,554,Champions,0
2011-11-22 16:34:00,2,742.1899999999999,16,4,2,3,423,At Risk,0
2011-06-05 11:36:00,2,729.5400000000001,187,1,2,3,123,Regular,1
2011-12-07 15:43:00,30,19788.65,1,5,5,5,555,Champions,3
2011-11-07 14:01:00,7,6572.11,31,4,5,5,455,Loyal Customers,0
2011-11-10 13:46:00,5,3928.0499999999997,28,4,4,5,445,Loyal Customers,0
2011-11-22 14:39:00,18,7324.09,16,4,5,5,455,Loyal Customers,3
2011-10-17 10:10:00,1,723.38,53,3,1,3,313,At Risk,0
2011-11-24 12:40:00,11,6816.42,15,4,5,5,455,Loyal Customers,0
2011-11-17 09:51:00,6,13219.74,22,4,4,5,445,Loyal Customers,0
2011-12-06 09:56:00,1,680.99,3,5,1,3,513,At Risk,0
2011-11-28 13:26:00,1,527.2,10,5,1,3,513,At Risk,0
2011-11-11 14:52:00,4,3281.63,27,4,4,5,445,Loyal Customers,0
2011-11-17 08:29:00,10,5579.82,22,4,5,5,455,Loyal Customers,0
2011-11-22 17:02:00,8,2484.98,16,4,5,5,455,Loyal Customers,0
2011-11-07 11:37:00,6,4527.32,32,4,4,5,445,Loyal Customers,0
2011-11-30 08:50:00,3,1298.66,9,5,3,4,534,Regular,0
2011-01-07 13:13:00,1,334.93,335,1,1,2,112,Regular,1
2011-12-04 16:07:00,10,5417.93,4,5,5,5,555,Champions,0
2011-11-01 12:18:00,1,460.40000000000003,38,3,1,2,312,At Risk,0
2011-10-07 15:15:00,2,263.21000000000004,62,3,2,2,322,At Risk,0
2011-06-27 10:17:00,2,433.74,165,2,2,2,222,At Risk,1
2011-11-24 09:34:00,7,1246.1000000000001,15,4,5,4,454,Loyal Customers,0
2011-09-19 12:29:00,1,1043.1,81,2,1,4,214,At Risk,0
2011-11-18 12:53:00,3,403.70000000000005,20,4,3,2,432,Loyal Customers,0
2011-11-16 16:20:00,11,4257.82,22,4,5,5,455,Loyal Customers,0
2011-01-07 12:28:00,1,2169.39,336,1,1,5,115,Regular,1
2011-09-05 11:52:00,5,3723.87,95,2,4,5,245,Loyal Customers,0
2011-11-21 16:02:00,2,482.04999999999995,17,4,2,2,422,At Risk,0
2011-04-21 08:54:00,1,73.5,232,1,1,1,111,Regular,1
2011-07-28 17:09:00,3,1304.81,133,2,3,4,234,Loyal Customers,0
2011-11-13 15:37:00,2,397.88,25,4,2,2,422,At Risk,0
2011-02-28 14:45:00,1,176.5,283,1,1,1,111,Regular,1
2011-07-20 10:15:00,2,982.5699999999999,142,2,2,4,224,At Risk,0
2011-10-04 14:55:00,2,132.18,65,3,2,1,321,At Risk,0
2011-08-19 10:51:00,1,612.29,112,2,1,3,213,At Risk,0
2011-03-17 16:38:00,1,1017.68,266,1,1,4,114,Regular,1
2010-12-21 15:43:00,1,383.7,352,1,1,2,112,Regular,1
2011-09-23 09:13:00,2,1312.06,77,2,2,4,224,At Risk,0
2011-11-11 14:04:00,5,2481.6,27,4,4,5,445,Loyal Customers,0
2011-12-09 10:13:00,5,2056.89,0,5,4,5,545,Champions,0
2011-10-07 09:26:00,1,330.84,63,3,1,2,312,At Risk,0
2011-09-21 15:23:00,5,2634.26,78,2,4,5,245,Loyal Customers,0
2011-07-20 10:51:00,1,599.68,142,2,1,3,213,At Risk,1
2011-10-31 15:30:00,2,192.72,38,3,2,1,321,At Risk,0
2011-11-20 12:55:00,11,1789.77,18,4,5,4,454,Loyal Customers,0
2011-11-30 15:31:00,8,4485.72,8,5,5,5,555,Champions,0
2011-12-09 12:09:00,3,1316.66,0,5,3,4,534,Regular,0
2011-09-19 11:55:00,3,348.71000000000004,81,2,3,2,232,Loyal Customers,0
2011-11-30 14:40:00,6,1933.48,8,5,5,4,554,Champions,0
2011-10-11 12:34:00,4,1662.28,59,3,4,4,344,Loyal Customers,0
2011-11-25 11:12:00,1,125.22,14,4,1,1,411,At Risk,0
2011-11-09 13:47:00,1,349.83000000000004,29,4,1,2,412,At Risk,0
2011-08-01 10:26:00,1,1089.18,130,2,1,4,214,At Risk,0
2011-09-09 08:48:00,2,716.35,91,2,2,3,223,At Risk,0
2011-10-27 14:20:00,3,12601.830000000002,42,3,3,5,335,Loyal Customers,0
2011-11-10 17:16:00,1,363.95,28,4,1,2,412,At Risk,0
2011-11-17 13:30:00,4,5568.35,21,4,4,5,445,Loyal Customers,0
2011-11-20 11:31:00,17,13400.24,19,4,5,5,455,Loyal Customers,3
2011-11-10 10:40:00,3,981.18,29,4,3,4,434,Loyal Customers,0
2011-11-03 16:15:00,1,372.7,35,3,1,2,312,At Risk,0
2011-09-25 13:39:00,2,1000.39,74,2,2,4,224,At Risk,0
2011-10-24 12:09:00,2,1161.5,46,3,2,4,324,At Risk,0
2011-05-26 12:38:00,2,207.79999999999998,197,1,2,1,121,Regular,1
2011-06-26 15:35:00,1,95.19999999999999,165,2,1,1,211,At Risk,1
2011-09-21 14:35:00,1,964.83,78,2,1,4,214,At Risk,0
2010-12-17 11:23:00,1,168.0,357,1,1,1,111,Regular,1
2011-11-01 10:02:00,2,437.82,38,3,2,2,322,At Risk,0
2011-12-01 16:38:00,10,3692.28,7,5,5,5,555,Champions,0
2011-10-20 13:06:00,2,599.56,49,3,2,3,323,At Risk,0
2011-11-23 16:59:00,5,11990.960000000001,15,4,4,5,445,Loyal Customers,0
2011-12-02 10:41:00,1,269.96,7,5,1,2,512,At Risk,0
2011-02-02 09:49:00,2,561.71,310,1,2,3,123,Regular,1
2011-12-04 13:54:00,3,2134.01,4,5,3,5,535,Regular,0
2011-02-10 11:39:00,1,238.85,302,1,1,1,111,Regular,1
2011-12-01 17:20:00,7,3781.7400000000002,7,5,5,5,555,Champions,0
2011-03-23 14:55:00,1,456.9,260,1,1,2,112,Regular,1
2011-02-24 10:34:00,1,145.92,288,1,1,1,111,Regular,1
2011-09-14 14:30:00,1,351.65,85,2,1,2,212,At Risk,0
2011-11-17 11:02:00,10,9401.28,22,4,5,5,455,Loyal Customers,0
2011-12-07 16:24:00,32,4124.69,1,5,5,5,555,Champions,3
2011-10-31 10:19:00,2,519.61,39,3,2,3,323,At Risk,0
2011-12-01 09:20:00,2,1020.42,8,5,2,4,524,At Risk,0
2011-04-26 15:52:00,1,160.54000000000002,226,1,1,1,111,Regular,1
2011-01-28 09:20:00,1,218.45,315,1,1,1,111,Regular,1
2011-11-04 10:11:00,5,1315.83,35,3,4,4,344,Loyal Customers,0
2011-11-04 13:24:00,3,626.6,34,3,3,3,333,Loyal Customers,0
2011-11-18 13:30:00,2,2794.51,20,4,2,5,425,At Risk,0
2011-09-22 17:15:00,1,440.42,77,2,1,2,212,At Risk,0
2011-04-07 10:24:00,1,415.7,246,1,1,2,112,Regular,1
2011-10-31 08:56:00,1,197.71,39,3,1,1,311,At Risk,0
2011-04-15 08:45:00,2,511.36,238,1,2,3,123,Regular,1
2011-12-07 08:07:00,15,7281.38,2,5,5,5,555,Champions,3
2011-12-06 09:35:00,9,2338.15,3,5,5,5,555,Champions,0
2011-04-19 13:39:00,2,2040.1,233,1,2,4,124,Regular,1
2011-11-22 16:24:00,1,196.94000000000003,16,4,1,1,411,At Risk,0
2011-12-02 12:47:00,1,144.0,7,5,1,1,511,At Risk,0
2011-10-31 15:01:00,1,214.89999999999998,38,3,1,1,311,At Risk,0
2011-11-11 10:19:00,2,646.68,28,4,2,3,423,At Risk,0
2011-05-12 14:52:00,2,9864.26,210,1,2,5,125,Regular,1
2011-01-26 14:35:00,1,452.84999999999997,316,1,1,2,112,Regular,1
2011-09-08 15:04:00,2,437.6,91,2,2,2,222,At Risk,0
2011-08-23 12:43:00,3,418.09999999999997,108,2,3,2,232,Loyal Customers,0
2011-11-02 12:20:00,10,3338.2200000000003,37,3,5,5,355,Loyal Customers,0
2011-10-19 13:02:00,2,618.27,50,3,2,3,323,At Risk,0
2011-11-20 13:33:00,4,3811.22,18,4,4,5,445,Loyal Customers,0
2011-11-30 12:18:00,8,3023.08,9,5,5,5,555,Champions,0
2011-11-10 13:34:00,7,1032.58,28,4,5,4,454,Loyal Customers,0
2011-11-11 10:29:00,10,2599.04,28,4,5,5,455,Loyal Customers,0
2011-06-03 10:17:00,5,577.0600000000001,189,1,4,3,143,Loyal Customers,1
2011-10-12 11:22:00,1,153.12,58,3,1,1,311,At Risk,0
2011-11-18 10:42:00,1,739.1999999999999,21,4,1,3,413,At Risk,0
2011-09-21 14:08:00,2,254.18,78,2,2,2,222,At Risk,0
2011-10-10 16:06:00,1,1579.51,59,3,1,4,314,At Risk,0
2011-09-22 16:34:00,3,1126.85,77,2,3,4,234,Loyal Customers,0
2011-11-17 09:34:00,5,2099.54,22,4,4,5,445,Loyal Customers,0
2011-10-18 13:12:00,1,1193.32,51,3,1,4,314,At Risk,0
2011-09-26 15:35:00,1,704.0400000000001,73,2,1,3,213,At Risk,0
2011-10-13 14:59:00,5,3344.38,56,3,4,5,345,Loyal Customers,0
2011-03-07 10:22:00,1,315.6,277,1,1,2,112,Regular,1
2011-12-07 15:02:00,4,2291.19,1,5,4,5,545,Champions,0
2011-09-05 15:17:00,2,713.3,94,2,2,3,223,At Risk,0
2011-11-10 14:39:00,1,352.98,28,4,1,2,412,At Risk,0
2011-11-18 11:10:00,1,177.31,21,4,1,1,411,At Risk,0
2011-11-23 14:52:00,9,3641.24,15,4,5,5,455,Loyal Customers,0
2011-11-25 10:20:00,3,1339.41,14,4,3,4,434,Loyal Customers,0
2011-12-08 11:25:00,20,13689.67,1,5,5,5,555,Champions,3
2011-04-21 16:39:00,1,180.1,231,1,1,1,111,Regular,1
2011-03-08 13:50:00,1,305.1,275,1,1,2,112,Regular,1
2011-08-25 15:04:00,2,641.13,105,2,2,3,223,At Risk,0
2011-05-12 09:54:00,2,2683.82,211,1,2,5,125,Regular,1
2011-11-16 16:06:00,9,6620.48,22,4,5,5,455,Loyal Customers,0
2011-11-29 12:07:00,7,4478.53,10,5,5,5,555,Champions,0
2011-12-05 13:15:00,3,786.46,3,5,3,3,533,Regular,0
2011-11-30 10:48:00,2,1270.88,9,5,2,4,524,At Risk,0
2011-10-13 13:53:00,1,640.5,56,3,1,3,313,At Risk,0
2011-10-12 11:40:00,4,2163.98,58,3,4,5,345,Loyal Customers,0
2011-09-11 11:04:00,2,1689.18,89,2,2,4,224,At Risk,0
2011-10-03 13:46:00,8,6002.9,66,3,5,5,355,Loyal Customers,0
2011-11-06 13:11:00,1,671.69,32,4,1,3,413,At Risk,0
2011-04-15 12:48:00,1,486.1,238,1,1,2,112,Regular,1
2011-11-16 11:52:00,3,1174.58,23,4,3,4,434,Loyal Customers,0
2011-08-16 13:26:00,1,185.9,114,2,1,1,211,At Risk,0
2011-11-14 15:03:00,3,1013.26,24,4,3,4,434,Loyal Customers,0
2011-08-03 12:56:00,6,3344.64,127,2,5,5,255,Loyal Customers,0
2011-08-02 10:33:00,1,477.91,129,2,1,2,212,At Risk,0
2011-11-06 12:38:00,4,1775.18,33,3,4,4,344,Loyal Customers,0
2011-12-05 10:14:00,2,1346.97,4,5,2,4,524,At Risk,0
2011-11-17 12:56:00,12,3722.82,21,4,5,5,455,Loyal Customers,0
2011-07-08 11:55:00,1,318.05,154,2,1,2,212,At Risk,1
2011-08-24 14:41:00,3,623.51,106,2,3,3,233,Loyal Customers,0
2011-12-06 16:34:00,1,314.44,2,5,1,2,512,At Risk,0
2011-01-09 12:46:00,1,114.0,334,1,1,1,111,Regular,1
2011-01-12 15:00:00,1,919.98,330,1,1,3,113,Regular,1
2011-07-14 10:41:00,2,2209.85,148,2,2,5,225,At Risk,1
2011-11-29 10:10:00,5,601.98,10,5,4,3,543,Regular,0
2011-11-22 13:42:00,5,4051.17,16,4,4,5,445,Loyal Customers,0
2011-11-28 15:47:00,4,1643.18,10,5,4,4,544,Champions,0
2011-11-21 10:22:00,1,686.05,18,4,1,3,413,At Risk,0
2011-11-10 11:53:00,1,91.68,29,4,1,1,411,At Risk,0
2011-11-28 13:26:00,1,245.1,10,5,1,1,511,At Risk,0
2011-12-09 11:59:00,11,3849.78,0,5,5,5,555,Champions,0
2011-12-01 17:07:00,9,4881.88,7,5,5,5,555,Champions,0
2011-01-19 08:34:00,1,63.0,324,1,1,1,111,Regular,1
2011-10-12 17:00:00,1,620.13,57,3,1,3,313,At Risk,0
2011-11-28 10:56:00,4,3807.15,11,5,4,5,545,Champions,0
2011-07-12 09:54:00,3,2744.0299999999997,150,2,3,5,235,Loyal Customers,1
2011-11-29 15:23:00,5,2996.05,9,5,4,5,545,Champions,0
2011-01-14 09:20:00,1,225.89999999999998,329,1,1,1,111,Regular,1
2011-12-04 13:55:00,2,610.52,4,5,2,3,523,At Risk,0
2011-11-01 12:12:00,4,1970.6,38,3,4,4,344,Loyal Customers,0
2011-11-15 12:25:00,6,1331.39,24,4,5,4,454,Loyal Customers,0
2011-10-28 13:04:00,12,17628.46,41,3,5,5,355,Loyal Customers,3
2011-10-12 12:30:00,4,1113.02,58,3,4,4,344,Loyal Customers,0
2011-12-09 12:50:00,4,862.81,0,5,4,3,543,Regular,0
2011-11-25 11:33:00,22,13787.54,14,4,5,5,455,Loyal Customers,3
2011-12-06 10:00:00,31,12279.82,3,5,5,5,555,Champions,3
2011-12-05 16:31:00,15,8476.57,3,5,5,5,555,Champions,3
2011-12-02 09:53:00,7,2283.63,7,5,5,5,555,Champions,0
2011-11-11 13:46:00,6,2863.08,27,4,5,5,455,Loyal Customers,0
2010-12-03 09:51:00,1,89.14,371,1,1,1,111,Regular,1
2011-08-18 08:49:00,1,4873.8099999999995,113,2,1,5,215,At Risk,0
2011-11-14 08:31:00,2,1247.61,25,4,2,4,424,At Risk,0
2011-05-18 09:09:00,1,389.01,205,1,1,2,112,Regular,1
2011-11-11 16:49:00,6,1035.8,27,4,5,4,454,Loyal Customers,0
2011-08-04 17:51:00,4,855.91,126,2,4,3,243,Loyal Customers,0
2011-09-30 13:06:00,2,869.67,69,3,2,3,323,At Risk,0
2011-12-02 13:22:00,4,582.1,6,5,4,3,543,Regular,0
2011-11-11 08:47:00,3,957.59,28,4,3,4,434,Loyal Customers,0
2011-12-02 10:47:00,4,4939.99,7,5,4,5,545,Champions,0
2011-09-21 10:47:00,2,797.71,79,2,2,3,223,At Risk,0
2011-11-20 10:36:00,1,219.0,19,4,1,1,411,At Risk,0
2011-09-29 17:52:00,1,283.55,70,3,1,2,312,At Risk,0
2011-12-02 13:15:00,8,2340.84,6,5,5,5,555,Champions,0
2011-11-24 13:17:00,9,6868.29,14,4,5,5,455,Loyal Customers,0
2011-02-21 08:38:00,1,603.42,291,1,1,3,113,Regular,1
2011-11-10 09:52:00,10,2712.91,29,4,5,5,455,Loyal Customers,0
2011-11-24 15:38:00,15,9706.52,14,4,5,5,455,Loyal Customers,3
2011-09-04 12:00:00,3,1149.02,96,2,3,4,234,Loyal Customers,0
2011-11-11 08:19:00,13,4396.13,28,4,5,5,455,Loyal Customers,0
2011-12-09 12:16:00,1,848.55,0,5,1,3,513,At Risk,0
2011-11-30 15:43:00,5,4708.86,8,5,4,5,545,Champions,0
2011-08-25 15:22:00,1,343.36,105,2,1,2,212,At Risk,0
2011-12-06 08:55:00,2,1053.49,3,5,2,4,524,At Risk,0
2011-07-11 14:47:00,2,1030.98,150,2,2,4,224,At Risk,1
2011-09-29 16:38:00,1,238.25,70,3,1,1,311,At Risk,0
2011-12-04 13:45:00,2,644.95,4,5,2,3,523,At Risk,0
2011-12-07 08:03:00,25,5781.73,2,5,5,5,555,Champions,3
2011-11-08 12:13:00,6,2656.13,31,4,5,5,455,Loyal Customers,0
2011-09-15 14:50:00,4,997.63,84,2,4,4,244,Loyal Customers,0
2011-12-06 10:19:00,5,725.07,3,5,4,3,543,Regular,0
2011-12-04 16:02:00,4,1031.41,4,5,4,4,544,Champions,0
2010-12-03 15:45:00,1,427.8,370,1,1,2,112,Regular,1
2011-11-11 13:35:00,7,2609.1,27,4,5,5,455,Loyal Customers,0
2011-11-29 11:46:00,7,3980.7,10,5,5,5,555,Champions,0
2011-09-29 15:31:00,4,836.33,70,3,4,3,343,Loyal Customers,0
2011-08-18 11:40:00,1,453.01,113,2,1,2,212,At Risk,0
2011-11-16 11:59:00,12,18895.91,23,4,5,5,455,Loyal Customers,3
2011-06-13 11:33:00,1,236.26000000000002,179,1,1,1,111,Regular,1
2011-04-19 16:19:00,1,383.95,233,1,1,2,112,Regular,1
2010-12-22 12:47:00,1,110.39999999999999,352,1,1,1,111,Regular,1
2011-01-28 13:37:00,2,779.5699999999999,314,1,2,3,123,Regular,1
2011-01-11 07:57:00,1,234.0,332,1,1,1,111,Regular,1
2010-12-02 18:27:00,1,155.35,371,1,1,1,111,Regular,1
2011-09-22 13:00:00,2,1013.04,77,2,2,4,224,At Risk,0
2011-10-07 10:44:00,1,427.6,63,3,1,2,312,At Risk,0
2011-07-28 16:21:00,2,540.13,133,2,2,3,223,At Risk,0
2011-10-19 11:18:00,7,21279.29,51,3,5,5,355,Loyal Customers,3
2011-12-07 14:34:00,11,4196.01,1,5,5,5,555,Champions,0
2011-12-09 12:20:00,209,33053.19,0,5,5,5,555,Champions,2
2011-12-06 09:56:00,5,4090.88,3,5,4,5,545,Champions,0
2011-08-03 09:13:00,1,275.88,128,2,1,2,212,At Risk,0
2011-09-19 13:32:00,1,4366.78,80,2,1,5,215,At Risk,0
2011-11-17 10:52:00,6,21429.39,22,4,5,5,455,Loyal Customers,0
2011-04-18 09:00:00,3,3010.74,235,1,3,5,135,Loyal Customers,1
2011-03-04 12:42:00,2,3811.95,280,1,2,5,125,Regular,1
2011-09-14 09:31:00,1,112.07999999999998,86,2,1,1,211,At Risk,0
2011-11-24 12:30:00,13,7834.650000000001,15,4,5,5,455,Loyal Customers,3
2011-08-15 10:22:00,2,2791.59,116,2,2,5,225,At Risk,0
2011-10-18 14:49:00,3,1531.44,51,3,3,4,334,Loyal Customers,0
2011-12-02 10:23:00,2,1898.52,7,5,2,4,524,At Risk,0
2011-07-24 14:12:00,2,494.08,137,2,2,3,223,At Risk,0
2011-01-27 10:19:00,1,1693.88,316,1,1,4,114,Regular,1
2011-12-06 08:46:00,7,6989.63,3,5,5,5,555,Champions,0
2011-04-15 10:25:00,1,1143.6,238,1,1,4,114,Regular,1
2011-05-13 09:33:00,1,1351.45,210,1,1,4,114,Regular,1
2011-10-11 09:19:00,1,892.47,59,3,1,3,313,At Risk,0
2011-11-22 16:33:00,5,1386.04,16,4,4,4,444,Loyal Customers,0
2011-11-20 11:30:00,6,822.23,19,4,5,3,453,Loyal Customers,0
2011-11-02 11:43:00,8,3981.36,37,3,5,5,355,Loyal Customers,0
2011-10-07 10:37:00,2,826.74,63,3,2,3,323,At Risk,0
2011-12-05 09:16:00,5,2330.92,4,5,4,5,545,Champions,0
2011-12-07 15:56:00,6,2225.91,1,5,5,5,555,Champions,0
2011-11-30 15:38:00,2,532.8199999999999,8,5,2,3,523,At Risk,0
2010-12-10 13:48:00,1,311.95,363,1,1,2,112,Regular,1
2011-11-30 08:44:00,3,463.66,9,5,3,2,532,Regular,0
2011-10-05 13:34:00,1,91.85,64,3,1,1,311,At Risk,0
2011-05-31 14:14:00,1,324.92,191,1,1,2,112,Regular,1
2010-12-01 11:27:00,1,192.60000000000002,373,1,1,1,111,Regular,1
2011-03-28 11:36:00,1,400.53999999999996,256,1,1,2,112,Regular,1
2011-01-09 12:12:00,2,545.48,334,1,2,3,123,Regular,1
2011-10-17 14:54:00,2,860.41,52,3,2,3,323,At Risk,0
2011-11-21 10:27:00,1,430.48,18,4,1,2,412,At Risk,0
2010-12-09 10:55:00,1,254.03,365,1,1,2,112,Regular,1
2011-11-29 15:52:00,3,6977.04,9,5,3,5,535,Regular,0
2011-06-06 09:36:00,1,427.58,186,1,1,2,112,Regular,1
2011-11-03 10:05:00,3,483.65000000000003,36,3,3,2,332,Loyal Customers,0
2011-06-15 10:51:00,1,489.31,177,2,1,3,213,At Risk,1
2011-03-24 09:42:00,3,514.85,260,1,3,3,133,Loyal Customers,1
2011-10-26 09:54:00,1,229.64000000000001,44,3,1,1,311,At Risk,0
2011-08-30 12:11:00,1,125.92,101,2,1,1,211,At Risk,0
2011-07-15 10:21:00,2,1063.46,147,2,2,4,224,At Risk,1
